Name,Review,OverAll,Food,Service,Ambience,Date
Katie,Cool setup and views. The service was terrible and bland. They forgot to put in my food so my order finally came out when everyone was done. They were not busy.,3,3,1,5,Dined 4 days ago
Mark,"The  Christmas decor is not what it used to be nor what is advertised on the website.  Ordered the boozy hot chocolate and it was delivered at same time as the bill and was cold.  The food was also cold and average at best.  Overall, what used to be a great brunch has turned into a really poor experience.",1,3,2,1,Dined 4 days ago
Alisha,Had a reservation and was seated promptly. Service wasn’t great- slow and did not return many times to check in. Forgot one of the items we ordered. Food was average for the value. Would only come here for drinks in the future. Ambiance was cool,3,3,2,5,Dined 4 days ago
Kristen,All pictures show that it is decorated in all pink and over the top decorations for Christmas. Barely decorated pictures online we nothing like what is actually there.  Very disappointed.,2,3,4,2,Dined 5 days ago
Paul,Great area for a brunch. Awesome service and solid all around.,5,4,5,5,"Dined on December 1, 2024"
Jill,"So disappointed. We have gone here for years and loved everything! However, today…the pancakes are no longer pink, there were no decorations (not even for Christmas), they had most of the dining rooms shut off, and our waitress maybe came to our table twice. So unfortunate. And pastry basket was hard and dry,",2,2,2,2,"Dined on December 1, 2024"
Tobias,Im Sommer vielleicht ganz nett. Personal am Einlass macht einen riesen Affen wegen nichts. Da ist jeden bar im EG besser. Essen Fehlanzeige,1,1,1,1,"Dined on November 30, 2024"
Maria,"Went here for my birthday. Called the night before and asked about the indoor and outdoor of the rooftop, they said both were open and seating would depend on availability, they also said there is a DJ. We got there, they sat us in a dark corner behind the bar, the dj was on the other side of the whole rooftop and the music was very distant. We were 5 people and got squished in a corner table meant for 3-4 people. When we expressed that we werent happy with our seats due to the comfort, ambiance, and the fact that we were so far from everyone else to the hostess, she said theres nothing she can do except bring us an extra little LED candle for the table. We pointed to seats that were empty that we would be much happier with and she said they were all reserved (I had a reservation as well and was told you cannot reserve where exactly you would like to sit) The hostess was not helpful or friendly, the server was not attentive and we were overall very unhappy. We ordered 1 drink and booked skylark rooftop 5 mins away while we were there and just left. Looks nothing like pictures, extremely underwhelming, save your time go somewhere else.",1,2,1,2,"Dined on November 28, 2024"
rhina,My husband and I both got sick after eating there last night.,3,1,4,3,"Dined on November 27, 2024"
Kami,I have been here many times and always had an amazing time except for last night. No seasonal decorations no seasonal cocktails and the side with the carousels closed.,2,2,1,1,"Dined on November 26, 2024"
Ann,The music was way too loud for Sunday brunch. The playlist and the volume were not a Sunday brunch vibe,3,3,4,3,"Dined on November 24, 2024"
OpenTable Diner,Very nice experience. Good food and friendly staff.,5,5,5,5,"Dined on November 23, 2024"
Hannah,"even though it was pouring rain, this was great for after work team drinks and light bites!",5,4,5,5,"Dined on November 22, 2024"
Melissa,Great for my birthday brunch party! Great views too!,5,5,5,5,"Dined on November 16, 2024"
Tony,"Drinks are too sweet. We ordered two speciality cocktails, and they were unbearable sweet. Then we asked for gin and tonic which seemed to be made with a flavored seltzer, also too sweet. Music was not good, very 2010s, but not well blended. Music was very loud for a place without a dance floor.",1,1,1,1,"Dined on November 16, 2024"
Marina,"They never offer the happy hour option, just when I asked. The waitress warns us that if we wanted to keep the table we must orden food, we couldn't stay just ordering drinks, it was only 17.30h and some tables where still empty...",3,3,1,4,"Dined on November 16, 2024"
Delaney,"It was advertised that there was happy hour but then when we got there they said it was only at the bar and we were discouraged by the server to move to the bar. We were expecting great views on the city and Empire State Building but because the rooftop was covered, there was no way to see any type of views. Also, all drinks came in plastic cups. If I’m ordering a $16 glass of Prosecco, you’d think it would come in a glass at least.",1,1,3,1,"Dined on November 16, 2024"
Geraud,"Very noisy place, hard to have a conversation. More of a club vibe, even early.",3,1,4,2,"Dined on November 15, 2024"
Martine,"I made a reservation here based on a fantastic experience I had a few years ago.  The place was beautifully decorated, a warm and inviting environment with a gorgeous view.  Last night we showed up, there was zero decor, the bar was dark and so loud we couldn't hear each other, and we decided to leave before ordering.  I had seen gorgeous ads for Magic Rooftop a few years ago that matched our experience then, and I expected the same this time.  It looked like an entirely different place, just like any bar you could walk into off the street.  Disappointed.",2,2,2,2,"Dined on November 14, 2024"
Lerato,"While the food was okay, I had a bad experience while dining on my birthday with my friend. On two occasions two separate attendants came over to my table and started to pick up plates, glasses etc without asking if we were finished. We were still eating and I was shocked at this behavior.
It is proper courtesy for attendants to enquire from guests if they are finished before clearing their table.",3,3,3,4,"Dined on November 13, 2024"
Sharleen,"Had a great first experienced 
The view was Amazing 💕💕💕💕💕",5,5,5,5,"Dined on November 10, 2024"
Michele,Such a great roof top bar. Food was great and service also . Loved the view !,5,5,5,5,"Dined on November 2, 2024"
Shawn,Wack terrible drinks and shots and vibes. Don’t ever come here,1,1,3,2,"Dined on November 1, 2024"
